28,2,2,2,"B2BC","Verc","TA-M","C8",,14,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"EfKn",,,,1,1,,,,,14,0,,,,,200000,2.00000,,,,,0,
29,4,4,4,"B2BA","Coc","RT-H","A1",,14,4.00000,,,,"20090901","20100630",0.01760,,,,,0,12632256,"fKn","A",,,,,4,,,,14,0,,0,0,,400000,4.00000,,,,,0,
30,2,2,2,"B2BA","Coc","RT-H","A1",,15,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"fKn",,,,1,1,,,,,15,0,,,,,200000,2.00000,,,,,0,
30,2,0,2,"B2BA","Vek","RT-H","A1",,8,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"fKn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,0,
31,4,4,4,"B2BB","Coc","RT-H","A1",,12,4.00000,,,,"20090901","20100630",0.01760,,,,,0,12632256,"fKn","B",,,,,4,,,,12,0,,0,0,,400000,4.00000,,,,,0,
31,4,0,4,"B2BB","VRBK","RT-H","A1",,7,4.00000,,,,"20090901","20100630",0.01760,,,,,0,12632256,"fKn","B",,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,0,
32,2,2,2,"B2BB","Coc","RT-H","A1",,14,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"fKn",,,,1,1,,,,,14,0,,,,,200000,2.00000,,,,,0,
33,2,2,2,"B2BC","Coc","RT-H","A1",,14,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"fKn","E",,,1,1,,,,,14,0,,,,,200000,2.00000,,,,,0,
34,4,4,4,"B2BA","Van6","RT-M","B19",,12,4.00000,,,,"20090901","20100630",0.01760,,,,,0,12632256,"fKn","A",,,,,4,,,,12,0,,0,0,,400000,4.00000,,,,,0,
34,4,0,4,"B2BA","Jans","RT-M","B19",,8,4.00000,,,,"20090901","20100630",0.01760,,,,,0,12632256,"fKn","A",,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,0,
35,2,2,2,"B2BA","Van6","RT-M","B19",,14,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"fKn",,,,1,1,,,,,14,0,,,,,200000,2.00000,,,,,0,
36,2,2,2,"B2BB","Jans","TA-M","C8",,14,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"BEfKn",,,,1,1,,,,,14,0,,,,,200000,2.00000,,,,,0,
37,4,4,4,"B2BB","Jans","RT-M","B19",,12,4.00000,,,,"20090901","20100630",0.01760,,,,,0,12632256,"fKn","B",,,,,4,,,,12,0,,0,0,,400000,4.00000,,,,,0,
37,4,0,4,"B2BB","Verc","RT-M","B19",,7,4.00000,,,,"20090901","20100630",0.01760,,,,,0,12632256,"fKn","B",,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,0,
38,2,2,2,"B2BB","Jans","RT-M","B19",,14,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"BfKn",,,,1,1,,,,,14,0,,,,,200000,2.00000,,,,,0,
39,4,4,4,"B2BC","Verc","RT-M","B19",,14,4.00000,,,,"20090901","20100630",0.01760,,,,,0,12632256,"fKn","C",,,,,4,,,,14,0,,0,0,,400000,4.00000,,,,,0,
39,4,0,4,"B2BC","Jans","RT-M","B19",,8,4.00000,,,,"20090901","20100630",0.01760,,,,,0,12632256,"fKn","C",,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,0,
40,2,2,2,"B2BC","Verc","RT-M","B19",,14,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"BfKn","E",,,1,1,,,,,14,0,,,,,200000,2.00000,,,,,0,
41,1,1,1,"B2BA","Van6","LLV","C1",,14,1.00000,,,,"20090901","20100630",0.00440,,,,,0,32896,"BfKn",,,,,,,,,,14,0,,,,,100000,1.00000,,,,,0,
42,1,1,1,"B2BC","Geen","LLV","C1",,14,1.00000,,,,"20090901","20100630",0.00440,,,,,0,32896,"fn",,,,,,,,,,14,0,,,,,100000,1.00000,,,,,0,
43,1,1,1,"T2MA","Vanl","AARD1","A14",,19,1.00000,,,,"20090901","20100630",0.00440,,,,,0,8454143,"fKn",,,,,,,,,,19,0,,,,,100000,1.00000,,,,,0,
44,1,1,1,"T2MB","Vanl","AARD1","A14",,18,1.00000,,,,"20090901","20100630",0.00440,,,,,0,8454143,"BfKn",,,,,,,,,,18,0,,,,,100000,1.00000,,,,,0,
44,1,1,0,"T2HB","Vanl","AARD1","A14",,18,1.00000,,,,"20090901","20100630",0.00440,,,,,0,8454143,"BfKn",,,,,,,,,,18,0,,,,,100000,1.00000,,,,,0,
